physical_unit_id	path	spot_count	index_fingerprint_sha256	fingerprint_status
TLS_VISIUM_USZ::LC1	data/other_sources/zenodo_usz_tls_visium/TLS_VISIUM_USZ/h5ad_preprocessed/LC1.h5ad	4361	2d3614f1b3c8c8a25a9fac81a9d7359d03b0859073f118646d77c6f3d78884a6	INDEX_VALUE_PINNED
TLS_VISIUM_USZ::LC2	data/other_sources/zenodo_usz_tls_visium/TLS_VISIUM_USZ/h5ad_preprocessed/LC2.h5ad	2935	f442232881a51bd1f0d6f2d621a7d22616ef8bab3f08c0c0894c4c2096025199	INDEX_VALUE_PINNED
TLS_VISIUM_USZ::LC3	data/other_sources/zenodo_usz_tls_visium/TLS_VISIUM_USZ/h5ad_preprocessed/LC3.h5ad	3780	33159f62029a6be82a052f11bdd20763e8b7b4f126e38fde98e58585b0555a29	INDEX_VALUE_PINNED
TLS_VISIUM_USZ::LC4	data/other_sources/zenodo_usz_tls_visium/TLS_VISIUM_USZ/h5ad_preprocessed/LC4.h5ad	2939	1bc17eaf200fcf135c638b65b863e8e4d8465ae2048117f87b2d3ec0ada44533	INDEX_VALUE_PINNED
TLS_VISIUM_USZ::LC5	data/other_sources/zenodo_usz_tls_visium/TLS_VISIUM_USZ/h5ad_preprocessed/LC5.h5ad	2017	ab987843d62ee31b73fae82da99e2719be74ea71e9a749f2b3884a425a719c72	INDEX_VALUE_PINNED
external_geo::GSM5924030	data/GEO/GSE175540/raw/GSM5924030_ffpe_c_2_tissue_positions_list.csv.gz	4510	c06cabf1fd62e9deeea10d9a147a3ceb871a93d52fc17e74b00709f7dc3c3de3	INDEX_VALUE_PINNED
external_geo::GSM5924031	data/GEO/GSE175540/raw/GSM5924031_ffpe_c_3_tissue_positions_list.csv.gz	4755	1dad28b8673e47f24684995f5d2eecf8684267eec3c85949d18c80e51e2b16e1	INDEX_VALUE_PINNED
external_geo::GSM5924032	data/GEO/GSE175540/raw/GSM5924032_ffpe_c_4_tissue_positions_list.csv.gz	3829	82091fb6a54fb1ea2a9d4e068b5a68447255f359a0b64cf1a3f2123e7fc48cf6	INDEX_VALUE_PINNED
external_geo::GSM5924033	data/GEO/GSE175540/raw/GSM5924033_ffpe_c_7_tissue_positions_list.csv.gz	4975	62f70384d90ff56c946b4db5eb17b082303cc1c342c95c51bcfa1dab419f942f	INDEX_VALUE_PINNED
external_geo::GSM5924035	data/GEO/GSE175540/raw/GSM5924035_ffpe_c_20_tissue_positions_list.csv.gz	4948	5f36108d936954606b061a93f0116f00fe0d50946dccc0d8dc60eed160c3b702	INDEX_VALUE_PINNED
external_geo::GSM5924036	data/GEO/GSE175540/raw/GSM5924036_ffpe_c_21_tissue_positions_list.csv.gz	4915	c3770b627345a3ce27b9ef6e2bc003bbac70673f9c4175f893c5be242f4b996a	INDEX_VALUE_PINNED
external_geo::GSM5924037	data/GEO/GSE175540/raw/GSM5924037_ffpe_c_34_tissue_positions_list.csv.gz	3585	80db06f638e3c034fef9af76f5ded5d47dbd252a5fd2e2a2361a68e146ede1bc	INDEX_VALUE_PINNED
external_geo::GSM5924038	data/GEO/GSE175540/raw/GSM5924038_ffpe_c_36_tissue_positions_list.csv.gz	3206	2d960fbcc20bc357fe32b3afb2162c6657bdcdc7db301af962b1ce3f4f3aaeec	INDEX_VALUE_PINNED
external_geo::GSM5924039	data/GEO/GSE175540/raw/GSM5924039_ffpe_c_39_tissue_positions_list.csv.gz	4940	d462f429dcf2d4fbfe313f068e59236d414838524426c671e7f62f8c24c5f8db	INDEX_VALUE_PINNED
external_geo::GSM5924040	data/GEO/GSE175540/raw/GSM5924040_ffpe_c_45_tissue_positions_list.csv.gz	4562	3c6935bd68c6ce6bd693d7c41d6ca38b8f12d3fd67b016b3f3cae621c2c99216	INDEX_VALUE_PINNED
external_geo::GSM5924041	data/GEO/GSE175540/raw/GSM5924041_ffpe_c_51_tissue_positions_list.csv.gz	4359	80edd9dad28642ea76ff83ca9222a26c86f3618c1e5b3f1a02ea7c194e713529	INDEX_VALUE_PINNED
