section	patient	focus	focus_size	half_hops	seed	pos_cov	mhc2_pos	b_pos	mhc2_neg_med	b_neg_med	mhc2_hit	b_hit	n_neg
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	13	30	8.0	11	0.219	1.1117	0.4316	0.6907	0.2715	True	True	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	13	30	8.0	22	0.219	1.1117	0.4316	0.5285	0.2268	True	True	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	13	30	8.0	33	0.219	1.1117	0.4316	0.6999	0.2995	True	True	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	14	3	3.0	11	0.361	1.1225	0.4255	0.7145	0.2985	True	True	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	14	3	3.0	22	0.361	1.1225	0.4255	1.1599	0.4612	False	False	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	14	3	3.0	33	0.361	1.1225	0.4255	0.4289	0.267	True	True	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	14	3	5.0	11	0.352	1.1384	0.4087	0.8403	0.3423	True	True	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	14	3	5.0	22	0.352	1.1384	0.4087	0.3258	0.1807	True	True	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	14	3	5.0	33	0.352	1.1384	0.4087	0.8728	0.2899	True	True	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	14	3	8.0	11	0.23	1.1736	0.4474	1.0945	0.3383	True	True	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	14	3	8.0	22	0.23	1.1736	0.4474	0.8808	0.3015	True	True	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	14	3	8.0	33	0.23	1.1736	0.4474	0.9109	0.3349	True	True	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	15	10	3.0	11	0.312	0.5104	0.2593	0.3752	0.1966	True	True	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	15	10	3.0	22	0.312	0.5104	0.2593	0.8493	0.3342	False	False	4
