program	cohort	section	patient	baseline	mse_med	n_windows
P-stress	ST-CRC	ST_CRC_CMS::SN123_A551763_Rep1	ST_CRC_CMS::PATIENT::5399a83c19996600	nn	0.13007	12
P-stress	ST-CRC	ST_CRC_CMS::SN123_A551763_Rep1	ST_CRC_CMS::PATIENT::5399a83c19996600	m1	0.05393	12
P-stress	ST-CRC	ST_CRC_CMS::SN123_A551763_Rep1	ST_CRC_CMS::PATIENT::5399a83c19996600	m2	0.05367	12
P-epi	ST-CRC	ST_CRC_CMS::SN124_A551763_Rep2	ST_CRC_CMS::PATIENT::5399a83c19996600	nn	0.13546	12
P-epi	ST-CRC	ST_CRC_CMS::SN124_A551763_Rep2	ST_CRC_CMS::PATIENT::5399a83c19996600	m1	0.03408	12
P-epi	ST-CRC	ST_CRC_CMS::SN124_A551763_Rep2	ST_CRC_CMS::PATIENT::5399a83c19996600	m2	0.03579	12
P-stromal	ST-CRC	ST_CRC_CMS::SN124_A551763_Rep2	ST_CRC_CMS::PATIENT::5399a83c19996600	nn	0.09678	12
P-stromal	ST-CRC	ST_CRC_CMS::SN124_A551763_Rep2	ST_CRC_CMS::PATIENT::5399a83c19996600	m1	0.02739	12
P-stromal	ST-CRC	ST_CRC_CMS::SN124_A551763_Rep2	ST_CRC_CMS::PATIENT::5399a83c19996600	m2	0.03442	12
P-plasma	ST-CRC	ST_CRC_CMS::SN124_A551763_Rep2	ST_CRC_CMS::PATIENT::5399a83c19996600	nn	0.00758	12
P-plasma	ST-CRC	ST_CRC_CMS::SN124_A551763_Rep2	ST_CRC_CMS::PATIENT::5399a83c19996600	m1	0.00212	12
P-plasma	ST-CRC	ST_CRC_CMS::SN124_A551763_Rep2	ST_CRC_CMS::PATIENT::5399a83c19996600	m2	0.00215	12
P-smmhc	ST-CRC	ST_CRC_CMS::SN124_A551763_Rep2	ST_CRC_CMS::PATIENT::5399a83c19996600	nn	0.02169	12
P-smmhc	ST-CRC	ST_CRC_CMS::SN124_A551763_Rep2	ST_CRC_CMS::PATIENT::5399a83c19996600	m1	0.01163	12
