# r16.field_registry.v1.1 (2026-09-15, D-118 tier1b + D-119 tier2j joint; grades capped at EXPLORATORY_REPRODUCED; CLAIM_CANDIDATE requires separate approval)
pattern_id	tier	kind	axis_name	lineage	n_sections	n_patients	resolution_support	top_markers	geometry	effect_size	null_type	null_draws	null_p	fdr_q	cross_patient_shape_corr	residual_dimension	uncertainty_ci95	evidence_grade	notes
R16P047	2	pattern_group	NA	HTAN_VANDERBILT_CRC	1	1	3/3	TFF1;GPRC5A;CEACAM6;DHRS9;HLA-G;RHOF;CDHR2;EMP1;IL32;CTSE	NA	0.528	value_permutation	200	0.0050	NA	NA	axis_explained=False	NA	DESCRIPTIVE_SINGLE_PATIENT	stable_frac=1.00;purity=0.98;best_axis=Epi(0.03)_UNEXPLAINED
R16P048	2	pattern_group	NA	HTAN_VANDERBILT_CRC	1	1	3/3	ITM2C;S100A14;BEST4;CA4;SLC25A5;SLC37A2;AMN;UBC;ACTG1;CLDN7	NA	0.133	value_permutation	200	0.0050	NA	NA	axis_explained=False	NA	DESCRIPTIVE_SINGLE_PATIENT	stable_frac=1.00;purity=0.86;best_axis=ILC(0.01)_UNEXPLAINED
R16P049	2	pattern_group	NA	HTAN_VANDERBILT_CRC	1	1	3/3	UBD;IFI6;IFI27;ISG15;OAS2;IFI44;UBE2L6;MX1;GREM1;SPINK1	NA	0.600	value_permutation	200	0.0050	NA	NA	axis_explained=True	NA	DESCRIPTIVE_SINGLE_PATIENT	stable_frac=1.00;purity=0.92;best_axis=Plasma(0.57)_explained
R16P050	2	pattern_group	NA	HTAN_VANDERBILT_CRC	2	1	2/3	KRT18;KRT8;S100A10;ACTG1;LDHA;TMSB4X;S100A6;PKM;SH3BGRL3;ACTB	NA	0.437	value_permutation	200	0.0050	NA	NA	axis_explained=False	NA	DESCRIPTIVE_SINGLE_PATIENT	stable_frac=0.00;purity=0.81;best_axis=Epi(0.46)_UNEXPLAINED
R16P051	2	pattern_group	NA	HTAN_VANDERBILT_CRC	1	1	3/3	CYP2W1;CEL;DEFA6;FN1;VAV3;RNF43;CDCA7;PTMA;CDHR1;LGR5	NA	0.554	value_permutation	200	0.0050	NA	NA	axis_explained=False	NA	DESCRIPTIVE_SINGLE_PATIENT	stable_frac=0.33;purity=0.82;best_axis=Epi(-0.13)_UNEXPLAINED
R16P052	2	pattern_group	NA	HTAN_VANDERBILT_CRC	1	1	3/3	NUP58;TGFBI;MTIF3;GTF3A;POMP;HLA-B;SERF1A;CCNI;COL1A1;DEPRECATED_ENSG00000142192	NA	0.485	value_permutation	200	0.0050	NA	NA	axis_explained=False	NA	DESCRIPTIVE_SINGLE_PATIENT	stable_frac=0.33;purity=0.93;best_axis=Stromal(0.45)_UNEXPLAINED
R16P053	2	pattern_group	NA	HTAN_VANDERBILT_CRC	1	1	3/3	TM4SF1;CKB;PIGR;MALL;EMP1;SFN;DHRS9;PLAUR;MUC4;KRT20	NA	0.678	value_permutation	200	0.0050	NA	NA	axis_explained=False	NA	DESCRIPTIVE_SINGLE_PATIENT	stable_frac=1.00;purity=0.99;best_axis=Plasma(0.47)_UNEXPLAINED
R16P054	2	pattern_group	NA	HTAN_VANDERBILT_CRC	1	1	2/3	NCOA7;LCN2;SPINK1;XBP1;JUN;NRARP;MT1G;DEFA6;CFB;MYC	NA	0.374	value_permutation	200	0.0050	NA	NA	axis_explained=False	NA	DESCRIPTIVE_SINGLE_PATIENT	stable_frac=0.00;purity=0.77;best_axis=Plasma(0.26)_UNEXPLAINED
R16P055	2	pattern_group	NA	HTAN_VANDERBILT_CRC	1	1	2/3	SLC26A3;CDKN1A;ID1;SELENBP1;HSD11B2;HMGCS2;SLC39A4;ADIRF;CDHR5;LY6G6D	NA	0.558	value_permutation	200	0.0050	NA	NA	axis_explained=False	NA	DESCRIPTIVE_SINGLE_PATIENT	stable_frac=0.00;purity=1.00;best_axis=Epi(0.11)_UNEXPLAINED
R16P056	2	pattern_group	NA	HTAN_VANDERBILT_CRC	2	2	1/3	SERF1A;TAF11L9;USP17L19;HMGCS2;AC084121.13;TAF11L4;TAF11L13;USP17L1;NXPE4;SPDYE6	NA	0.568	value_permutation	200	0.0050	NA	NA	axis_explained=False	NA	EXPLORATORY_REPRODUCED	stable_frac=0.00;purity=0.75;best_axis=Epi(-0.07)_UNEXPLAINED
R16P057	2	pattern_group	NA	HTAN_VANDERBILT_CRC	1	1	2/3	TNFRSF6B;MMP3;IL11;MT2A;CXCL8;DEPRECATED_ENSG00000170345;IL24;EMP1;SERPINE1;IER3	NA	0.723	value_permutation	200	0.0050	NA	NA	axis_explained=True	NA	DESCRIPTIVE_SINGLE_PATIENT	stable_frac=0.00;purity=0.86;best_axis=Plasma(0.73)_explained
R16P058	2	pattern_group	NA	HTAN_VANDERBILT_CRC	2	2	2/3	BGN;COL1A2;ACTA2;SULF1;FBN1;COL3A1;IGFBP7;SPARC;CAVIN1;COL1A1	NA	0.272	value_permutation	200	0.0050	NA	NA	axis_explained=True	NA	EXPLORATORY_REPRODUCED	stable_frac=0.00;purity=0.82;best_axis=Stromal(0.79)_explained
R16P059	2	pattern_group	NA	HTAN_VANDERBILT_CRC	1	1	2/3	SLC25A5;IFI6;ACTG1;S100A6;RAN;LRATD1;GSTP1;AXIN2;ID1;SERF2	NA	0.557	value_permutation	200	0.0050	NA	NA	axis_explained=False	NA	DESCRIPTIVE_SINGLE_PATIENT	stable_frac=0.00;purity=0.97;best_axis=Plasma(0.01)_UNEXPLAINED
R16P060	2	pattern_group	NA	HTAN_VANDERBILT_CRC	1	1	2/3	FAM153B;ACTG1;TPT1;UBC;S100A6;ID1;SERF1A;KRT8;GSTP1;TMSB10	NA	0.605	value_permutation	200	0.0050	NA	NA	axis_explained=False	NA	DESCRIPTIVE_SINGLE_PATIENT	stable_frac=0.00;purity=0.86;best_axis=Plasma(0.17)_UNEXPLAINED
