evidence_id	entity_type	entity_id	field	source_asset	metadata_path	metadata_key	raw_value	normalized_value	evidence_grade	interpretation	conflict_flag
external_geo::GSM8452866::patient	physical_unit	external_geo::GSM8452866	patient_id	external_geo::GSE274557::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274557_gsm_quick.soft	!Sample_title	Pt-6D	GSE274557::P6	E2_corroborated	official metadata patient-to-GSM mapping	false
external_geo::GSM8452866::physical_specimen	physical_unit	external_geo::GSM8452866	physical_specimen_id	external_geo::GSE274557::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274557_gsm_quick.soft	!Sample_relation BioSample	SAMN43154196	SAMN43154196	E2_corroborated	official GEO BioSample identifies physical specimen	false
external_geo::GSM8452866::block_unknown	physical_unit	external_geo::GSM8452866	block_id	external_geo::GSE274557::series_soft	infra/bioinf-data-index/raw/geo/GSE274557_series_quick.soft	!Series_summary + !Series_overall_design	series: 55 individual samples from 13 patients; GSM title: patient-specimen; GEO relation: BioSample		E2_corroborated	physical specimen is a candidate block-equivalent; no block identifier is asserted	false
external_geo::GSM8452867::patient	physical_unit	external_geo::GSM8452867	patient_id	external_geo::GSE274557::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274557_gsm_quick.soft	!Sample_title	Pt-7A	GSE274557::P7	E2_corroborated	official metadata patient-to-GSM mapping	false
external_geo::GSM8452867::physical_specimen	physical_unit	external_geo::GSM8452867	physical_specimen_id	external_geo::GSE274557::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274557_gsm_quick.soft	!Sample_relation BioSample	SAMN43154195	SAMN43154195	E2_corroborated	official GEO BioSample identifies physical specimen	false
external_geo::GSM8452867::block_unknown	physical_unit	external_geo::GSM8452867	block_id	external_geo::GSE274557::series_soft	infra/bioinf-data-index/raw/geo/GSE274557_series_quick.soft	!Series_summary + !Series_overall_design	series: 55 individual samples from 13 patients; GSM title: patient-specimen; GEO relation: BioSample		E2_corroborated	physical specimen is a candidate block-equivalent; no block identifier is asserted	false
external_geo::GSM8452868::patient	physical_unit	external_geo::GSM8452868	patient_id	external_geo::GSE274557::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274557_gsm_quick.soft	!Sample_title	Pt-7B	GSE274557::P7	E2_corroborated	official metadata patient-to-GSM mapping	false
external_geo::GSM8452868::physical_specimen	physical_unit	external_geo::GSM8452868	physical_specimen_id	external_geo::GSE274557::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274557_gsm_quick.soft	!Sample_relation BioSample	SAMN43154194	SAMN43154194	E2_corroborated	official GEO BioSample identifies physical specimen	false
external_geo::GSM8452868::block_unknown	physical_unit	external_geo::GSM8452868	block_id	external_geo::GSE274557::series_soft	infra/bioinf-data-index/raw/geo/GSE274557_series_quick.soft	!Series_summary + !Series_overall_design	series: 55 individual samples from 13 patients; GSM title: patient-specimen; GEO relation: BioSample		E2_corroborated	physical specimen is a candidate block-equivalent; no block identifier is asserted	false
external_geo::GSM8452869::patient	physical_unit	external_geo::GSM8452869	patient_id	external_geo::GSE274557::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274557_gsm_quick.soft	!Sample_title	Pt-7C	GSE274557::P7	E2_corroborated	official metadata patient-to-GSM mapping	false
external_geo::GSM8452869::physical_specimen	physical_unit	external_geo::GSM8452869	physical_specimen_id	external_geo::GSE274557::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274557_gsm_quick.soft	!Sample_relation BioSample	SAMN43154193	SAMN43154193	E2_corroborated	official GEO BioSample identifies physical specimen	false
external_geo::GSM8452869::block_unknown	physical_unit	external_geo::GSM8452869	block_id	external_geo::GSE274557::series_soft	infra/bioinf-data-index/raw/geo/GSE274557_series_quick.soft	!Series_summary + !Series_overall_design	series: 55 individual samples from 13 patients; GSM title: patient-specimen; GEO relation: BioSample		E2_corroborated	physical specimen is a candidate block-equivalent; no block identifier is asserted	false
