asset_id	source_namespace	accession	source_sample_id	path	asset_type	format	bytes	checksum_status	checksum	processing_level	parent_asset_id	record_status
META::upstream_blca_tls_summary	upstream_blca_tls_summary			repo/data/ST_BLCA_maturation_location.csv	metadata_source	table	719	sha256_verified	4153e0abede967054529f712aebd0dc8bc47f7e514b4d31baafff6af96478e8d	bundled_metadata		PRESENT
META::upstream_crc_cohort_metadata	upstream_crc_cohort_metadata			repo/data_meta/ST_CRC_cohort_meta2.csv	metadata_source	table	11047	sha256_verified	00666499dc02275c6ba2cd0fb384ba70f001efb066dfb28dfe3941bd182e8018	bundled_metadata		PRESENT
META::upstream_crc_tls_summary	upstream_crc_tls_summary			repo/data/ST_CRC_maturation_location.csv	metadata_source	table	2455	sha256_verified	e451152735e9ce121519965ade6c9d8211f769cb0d41d35f6026fdfc95ae4c12	bundled_metadata		PRESENT
META::upstream_lihc_cohort_metadata	upstream_lihc_cohort_metadata			repo/data_meta/ST_LIHC_cohort_meta.xlsx	metadata_source	metadata_workbook	11328	sha256_verified	b94940b6cc3021de1e4dc2d561b70d6c97afef22d220c7b4f6ebde8b31730cec	bundled_metadata		PRESENT
META::upstream_lihc_tls_summary	upstream_lihc_tls_summary			repo/data/ST_LIHC_maturation_location.csv	metadata_source	table	5135	sha256_verified	bf947ee8f7ff6a191ecf973e912e4bc857b7907a71f6cc9520d99df451065215	bundled_metadata		PRESENT
TENX::V1_Breast_Cancer_Block_A_Section_1	TENX_GENOMICS		B37	data/other_sources/10x_genomics/V1_Breast_Cancer_Block_A_Section_1	dataset_directory	directory		NOT_COMPUTED_DIRECTORY		processed	META::atlas_non_geo_manifest	MATCHED
TENX::V1_Breast_Cancer_Block_A_Section_2	TENX_GENOMICS			data/other_sources/10x_genomics/V1_Breast_Cancer_Block_A_Section_2	dataset_directory	directory		NOT_COMPUTED_DIRECTORY		processed	META::atlas_non_geo_manifest	MATCHED
external_geo::GSE211956::gsm_soft	external_geo	GSE211956		infra/bioinf-data-index/raw/geo/GSE211956_gsm_quick.soft	gsm_soft	soft	31826	sha256_verified	79a92a96f01196b882669104a8af8b0044909fe0210dfae813fcfe981af4e3e3	metadata_only		active
external_geo::GSE211956::patient_gsm_crosswalk	external_geo	GSE211956		infra/bioinf-data-index/raw/supplements/PMC10991508_supplementary_data_1.xlsx	patient_gsm_crosswalk	xlsx	12986	sha256_verified	7ee547997e7fa5819a4c15b6674b9433605569d0bb4589ddd81633918e823359	metadata_only		active
external_geo::GSE211956::raw_tar_header	external_geo	GSE211956		data/GEO/GSE211956/GSE211956_RAW.tar	local_tar_header_locator	tar	298219520	not_computed_large_local_locator		header_only		active
