program	patient	section	n_spots	gene_coverage	moran_raw	moran_resid_Q	moran_resid_QC	status
P-smmhc	HTAN_VANDERBILT_CRC::PATIENT::4aa571d63ab1aa20	HTAN::6723_KL_1_filtered_trimmed.h5ad	3901	3/3	0.7864	0.7646	0.6989	OK
P-mhc2	HTAN_VANDERBILT_CRC::PATIENT::4aa571d63ab1aa20	HTAN::6723_KL_1_filtered_trimmed.h5ad	3901	2/2	0.5842	0.4298	0.2199	OK
P-stress	HTAN_VANDERBILT_CRC::PATIENT::4aa571d63ab1aa20	HTAN::6723_KL_1_filtered_trimmed.h5ad	3901	2/2	0.6431	0.6412	0.593	OK
P-epi	HTAN_VANDERBILT_CRC::PATIENT::4aa571d63ab1aa20	HTAN::6723_KL_2_filtered_trimmed.h5ad	4369	16/16	0.8986	0.6895	0.4437	OK
P-stromal	HTAN_VANDERBILT_CRC::PATIENT::4aa571d63ab1aa20	HTAN::6723_KL_2_filtered_trimmed.h5ad	4369	9/9	0.8206	0.5711	0.2392	OK
P-plasma	HTAN_VANDERBILT_CRC::PATIENT::4aa571d63ab1aa20	HTAN::6723_KL_2_filtered_trimmed.h5ad	4369	11/11	0.7117	0.6956	0.3584	OK
P-smmhc	HTAN_VANDERBILT_CRC::PATIENT::4aa571d63ab1aa20	HTAN::6723_KL_2_filtered_trimmed.h5ad	4369	3/3	0.8499	0.4758	0.1374	OK
P-mhc2	HTAN_VANDERBILT_CRC::PATIENT::4aa571d63ab1aa20	HTAN::6723_KL_2_filtered_trimmed.h5ad	4369	2/2	0.6947	0.4165	0.1252	OK
P-stress	HTAN_VANDERBILT_CRC::PATIENT::4aa571d63ab1aa20	HTAN::6723_KL_2_filtered_trimmed.h5ad	4369	2/2	0.7341	0.6673	0.426	OK
P-epi	HTAN_VANDERBILT_CRC::PATIENT::4aa571d63ab1aa20	HTAN::6723_KL_3_filtered_trimmed.h5ad	2997	16/16	0.9442	0.6045	0.3654	OK
P-stromal	HTAN_VANDERBILT_CRC::PATIENT::4aa571d63ab1aa20	HTAN::6723_KL_3_filtered_trimmed.h5ad	2997	9/9	0.9125	0.7492	0.3349	OK
P-plasma	HTAN_VANDERBILT_CRC::PATIENT::4aa571d63ab1aa20	HTAN::6723_KL_3_filtered_trimmed.h5ad	2997	11/11	0.8103	0.7618	0.3398	OK
