go_id	raw_size	covered_size	n_input	n_readout	representative
GOBP_AMPA_SELECTIVE_GLUTAMATE_RECEPTOR_SIGNALING_PATHWAY	5	3	2	1	GOBP_AMPA_SELECTIVE_GLUTAMATE_RECEPTOR_SIGNALING_PATHWAY
GOBP_AMP_BIOSYNTHETIC_PROCESS	13	5	3	2	GOBP_AMP_BIOSYNTHETIC_PROCESS
GOBP_AMP_CATABOLIC_PROCESS	5	3	2	1	GOBP_AMP_CATABOLIC_PROCESS
GOBP_AMP_METABOLIC_PROCESS	23	10	5	5	GOBP_AMP_METABOLIC_PROCESS
GOBP_AMYLIN_RECEPTOR_SIGNALING_PATHWAY	6	5	3	2	GOBP_AMYLIN_RECEPTOR_SIGNALING_PATHWAY
GOBP_AMYLOID_BETA_CLEARANCE	42	23	12	11	GOBP_AMYLOID_BETA_CLEARANCE
GOBP_AMYLOID_BETA_CLEARANCE_BY_CELLULAR_CATABOLIC_PROCESS	8	7	4	3	GOBP_AMYLOID_BETA_CLEARANCE_BY_CELLULAR_CATABOLIC_PROCESS
GOBP_AMYLOID_BETA_FORMATION	60	23	12	11	GOBP_AMYLOID_BETA_FORMATION
GOBP_AMYLOID_BETA_METABOLIC_PROCESS	74	33	17	16	GOBP_AMYLOID_BETA_METABOLIC_PROCESS
GOBP_AMYLOID_FIBRIL_FORMATION	45	24	12	12	GOBP_AMYLOID_FIBRIL_FORMATION
GOBP_AMYLOID_PRECURSOR_PROTEIN_BIOSYNTHETIC_PROCESS	27	7	4	3	GOBP_AMYLOID_PRECURSOR_PROTEIN_BIOSYNTHETIC_PROCESS
GOBP_AMYLOID_PRECURSOR_PROTEIN_CATABOLIC_PROCESS	74	27	14	13	GOBP_AMYLOID_PRECURSOR_PROTEIN_CATABOLIC_PROCESS
GOBP_AMYLOID_PRECURSOR_PROTEIN_METABOLIC_PROCESS	102	37	19	18	GOBP_AMYLOID_PRECURSOR_PROTEIN_METABOLIC_PROCESS
GOBP_ANAGEN	5	4	2	2	GOBP_ANAGEN
GOBP_ANAPHASE_PROMOTING_COMPLEX_DEPENDENT_CATABOLIC_PROCESS	24	11	6	5	GOBP_ANAPHASE_PROMOTING_COMPLEX_DEPENDENT_CATABOLIC_PROCESS
GOBP_ANATOMICAL_STRUCTURE_ARRANGEMENT	18	14	7	7	GOBP_ANATOMICAL_STRUCTURE_ARRANGEMENT
GOBP_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS	1303	733	367	366	GOBP_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS
GOBP_ANATOMICAL_STRUCTURE_MATURATION	284	157	79	78	GOBP_ANATOMICAL_STRUCTURE_MATURATION
GOBP_ANATOMICAL_STRUCTURE_REGRESSION	16	9	5	4	GOBP_ANATOMICAL_STRUCTURE_REGRESSION
GOBP_ANDROGEN_BIOSYNTHETIC_PROCESS	10	5	3	2	GOBP_ANDROGEN_BIOSYNTHETIC_PROCESS
