go_id	rep_id	n_input	n_readout	disc_QC_med	STCRC_mol	STCRC_dM1	STCRC_dM2	USZ_mol	USZ_dM1	USZ_dM2
GOBP_AMINOGLYCAN_BIOSYNTHETIC_PROCESS	GOBP_AMINOGLYCAN_BIOSYNTHETIC_PROCESS	15	14	0.0360	0.4509	1.42	2.31	0.2471	16.45	20.10
GOBP_AMINOGLYCAN_CATABOLIC_PROCESS	GOBP_AMINOGLYCAN_CATABOLIC_PROCESS	10	10	0.0327	0.3294	0.09	-0.21	0.1295	6.47	2.69
GOBP_AMINOGLYCAN_METABOLIC_PROCESS	GOBP_AMINOGLYCAN_METABOLIC_PROCESS	29	29	0.0323	0.6238	3.99	1.96	0.4703	43.35	27.96
GOBP_AMINOGLYCOSIDE_ANTIBIOTIC_METABOLIC_PROCESS	GOBP_AMINOGLYCOSIDE_ANTIBIOTIC_METABOLIC_PROCESS	2	2	0.0273	0.1497	0.07	-0.41	0.1124	56.52	5.39
GOBP_AMINOPHOSPHOLIPID_TRANSLOCATION	GOBP_AMINOPHOSPHOLIPID_TRANSLOCATION	2	2	0.0214	0.3115	4.61	1.93	0.0965	19.37	33.52
GOBP_AMINOPHOSPHOLIPID_TRANSPORT	GOBP_AMINOPHOSPHOLIPID_TRANSPORT	3	3	0.0238	0.3491	1.49	1.48	0.2009	45.29	32.55
GOBP_AMINO_ACID_ACTIVATION	GOBP_AMINO_ACID_ACTIVATION	5	5	0.0208	0.3559	2.50	3.70	0.1095	41.79	31.54
GOBP_AMINO_ACID_BETAINE_BIOSYNTHETIC_PROCESS	GOBP_AMINO_ACID_BETAINE_BIOSYNTHETIC_PROCESS	2	2	0.0097	0.1911	-0.05	-0.32	0.0396	-0.15	-0.86
GOBP_AMINO_ACID_BETAINE_METABOLIC_PROCESS	GOBP_AMINO_ACID_BETAINE_METABOLIC_PROCESS	6	5	0.0251	0.3474	1.62	2.45	0.1470	18.87	24.92
GOBP_AMINO_ACID_BETAINE_TRANSPORT	GOBP_AMINO_ACID_BETAINE_TRANSPORT	4	3	0.0441	0.1700	-0.25	-0.40	0.0784	-0.17	-0.58
GOBP_AMINO_ACID_BIOSYNTHETIC_PROCESS	GOBP_AMINO_ACID_BIOSYNTHETIC_PROCESS	17	17	0.0449	0.6226	-1.93	1.33	0.5073	60.70	25.07
GOBP_AMINO_ACID_CATABOLIC_PROCESS	GOBP_AMINO_ACID_CATABOLIC_PROCESS	30	29	0.0489	0.6881	13.91	7.55	0.4693	62.64	13.64
